"trap.name","rev.lat","rev.lng","lat.lng.src","satellite.ind","ZCTA5CE10","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","GEOID","community"
"T030","41.8837717767951","-87.71616836510131","CDPH",FALSE,60624,17,31,836800,1,170318368001,"EAST GARFIELD PARK"
"T030B","41.88371129460932","-87.71609209177537","CDPH",TRUE,60624,17,31,836800,1,170318368001,"EAST GARFIELD PARK"
"T167","41.87287286249572","-87.7647365320396","CDPH",FALSE,60644,17,31,252101,1,170312521011,"AUSTIN"
"T033","41.90728487283588","-87.701394636759","CDPH",FALSE,60622,17,31,240900,1,170312409001,"WEST TOWN"
"T034","41.841684180933214","-87.6851487363558","CDPH",FALSE,60608,17,31,841300,4,170318413004,"LOWER WEST SIDE"
"T035","41.76337092198238","-87.6378726141474","CDPH",FALSE,60621,17,31,681300,2,170316813002,"ENGLEWOOD"
"T035.2","41.8366302","-87.6777392","Google",FALSE,60608,17,31,840300,2,170318403002,"MCKINLEY PARK"
"T036","41.83691188857033","-87.73157890270961","CDPH",FALSE,60623,17,31,301803,3,170313018033,"SOUTH LAWNDALE"
"T037","41.92105391439082","-87.79575070133757","CDPH",FALSE,60707,17,31,831600,4,170318316004,"MONTCLARE"
"T039","41.91356758228873","-87.72630030176042","CDPH",FALSE,60647,17,31,230400,2,170312304002,"HUMBOLDT PARK"
"T040","41.8517688927757","-87.7197282029539","CDPH",FALSE,60623,17,31,841400,2,170318414002,"NORTH LAWNDALE"
"T043","41.857837293807705","-87.63586198559554","CDPH",FALSE,60616,17,31,841900,2,170318419002,"NEAR WEST SIDE"
"T044","41.88419958545182","-87.62008664669412","CDPH",FALSE,60601,17,31,320100,1,170313201001,"LOOP"
"T045","41.92170457422864","-87.66696323469388","CDPH",FALSE,60614,17,31,832500,1,170318325001,"LINCOLN PARK"
"T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,60612,17,31,836700,2,170318367002,"HUMBOLDT PARK"
"T046B","41.891454520945864","-87.68976265642561","CDPH",TRUE,60612,17,31,242800,1,170312428001,"WEST TOWN"
"T047","41.86759925367238","-87.69578544257037","CDPH",FALSE,60612,17,31,843300,1,170318433001,"NORTH LAWNDALE"
"T048","41.86691518161014","-87.65491884363057","CDPH",FALSE,60608,17,31,283800,1,170312838001,"NEAR WEST SIDE"
"T049","41.896131092623506","-87.65676212387862","CDPH",FALSE,60642,17,31,243500,2,170312435002,"WEST TOWN"
"T050","41.91987893556831","-87.69490181540546","CDPH",FALSE,60647,17,31,221400,3,170312214003,"LOGAN SQUARE"
"T051","41.84552947711851","-87.65605013531362","CDPH",FALSE,60608,17,31,600600,2,170316006002,"BRIDGEPORT"
"T054","41.922512376871495","-87.63237767042544","CDPH",FALSE,60614,17,31,71400,2,170310714002,"LINCOLN PARK"
"T054A","41.92273664946568","-87.63244996720142","CDPH",TRUE,60614,17,31,71400,2,170310714002,"LINCOLN PARK"
"T054B","41.92206380002785","-87.63223305992274","CDPH",TRUE,60614,17,31,71400,2,170310714002,"LINCOLN PARK"
"T054C","41.921776903428494","-87.63214045192028","CDPH",TRUE,60614,17,31,71400,2,170310714002,"LINCOLN PARK"
"T060","41.8231277055702","-87.6825290369968","CDPH",FALSE,60609,17,31,590500,1,170315905001,"MCKINLEY PARK"
"T061","41.80104785720396","-87.68042473369341","CDPH",FALSE,60609,17,31,630100,1,170316301001,"GAGE PARK"
"T062","41.8005970872007","-87.7117303452467","CDPH",FALSE,60632,17,31,630300,2,170316303002,"GAGE PARK"
"T063","41.82539825646484","-87.72396213667864","CDPH",FALSE,60623,17,31,830500,3,170318305003,"SOUTH LAWNDALE"
"T063B","41.82606534071734","-87.72397609269235","CDPH",TRUE,60623,17,31,830500,3,170318305003,"SOUTH LAWNDALE"
"T065","41.77830515554422","-87.75436628603191","CDPH",FALSE,60638,17,31,980100,1,170319801001,"CLEARING"
"T065A","41.77734314354912","-87.74966553150517","CDPH",TRUE,60638,17,31,640700,2,170316407002,"CLEARING"
"T066","41.77119858797388","-87.70310660774493","CDPH",FALSE,60629,17,31,660900,3,170316609003,"CHICAGO LAWN"
"T067","41.7600823529196","-87.74160716098964","CDPH",FALSE,60629,17,31,650500,3,170316505003,"WEST LAWN"
"T068","41.7465002","-87.6637","Google",FALSE,60620,17,31,710500,1,170317105001,"AUBURN GRESHAM"
"T069","41.768485667016584","-87.67946342813606","CDPH",FALSE,60636,17,31,660700,2,170316607002,"CHICAGO LAWN"
"T070","41.79697562371853","-87.79771355544744","CDPH",FALSE,60638,17,31,560900,5,170315609005,"GARFIELD RIDGE"
"T071","41.779693355250316","-87.77659727910212","CDPH",FALSE,60638,17,31,640300,6,170316403006,"CLEARING"
"T072","41.7463635328984","-87.70244486812008","CDPH",FALSE,60652,17,31,700401,1,170317004011,"ASHBURN"
"T073","41.773085401492715","-87.60016755939222","CDPH",FALSE,60637,17,31,841800,2,170318418002,"GREATER GRAND CROSSING"
"T074","41.82085850772701","-87.66510809467968","CDPH",FALSE,60609,17,31,842600,2,170318426002,"NEW CITY"
"T074B","41.82251502093992","-87.66510458646107","CDPH",TRUE,60609,17,31,842600,2,170318426002,"NEW CITY"
"T075","41.80809006352392","-87.58928650652244","CDPH",FALSE,60615,17,31,390700,1,170313907001,"KENWOOD"
"T076","41.793951806707","-87.61581170480557","CDPH",FALSE,60637,17,31,400300,1,170314003001,"WASHINGTON PARK"
"T077","41.778128857884745","-87.58624503516381","CDPH",FALSE,60637,17,31,843900,1,170318439001,"WOODLAWN"
"T078","41.7754286072673","-87.65453449840803","CDPH",FALSE,60636,17,31,834900,2,170318349002,"WEST ENGLEWOOD"
"T079","41.76575252485466","-87.56246520793836","CDPH",FALSE,60649,17,31,430700,1,170314307001,"SOUTH SHORE"
"T080","41.75414841411549","-87.61272102258191","CDPH",FALSE,60619,17,31,691400,5,170316914005,"GREATER GRAND CROSSING"
"T081","41.820051649277865","-87.62734757080052","CDPH",FALSE,60609,17,31,380500,1,170313805001,"GRAND BOULEVARD"
"T082","41.802359308973436","-87.64307591923095","CDPH",FALSE,60609,17,31,843800,1,170318438001,"NEW CITY"
"T083","41.754292","-87.590773","Google",FALSE,60619,17,31,834300,2,170318343002,"AVALON PARK"
"T084","41.692774011978955","-87.61736615120783","CDPH",FALSE,60628,17,31,490901,3,170314909013,"ROSELAND"
