"station","name","trap.name","wea.dist.mi"
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T146",4.49134773541797
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T147",5.20617459778681
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T148",6.11037801329627
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T149",6.31671781165223
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T150",6.18651005660936
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T151",3.81444657828355
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T152",9.38725168000743
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T153",4.44331381008204
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T154",3.90803451618413
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T155",13.4535288255006
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T156",13.9184601064023
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T157",12.3261447055468
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T158",20.3357519636133
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T159",17.9966721837415
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T160",20.0837480292719
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T161",18.3935546361486
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T162",19.2452521416063
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T200",24.6906949795337
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T200A",24.7976110417458
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T200B",25.1965741687709
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T203",24.6838862292367
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T206",25.2379077073534
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T209",25.0038704054457
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T212",23.9302443392401
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T215",23.6835311330117
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T218",3.31596210920478
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T218A",3.10326963394856
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T218B",2.87198770782272
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T218C",3.59360793236039
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T219",5.80261121360147
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T220",4.98182199237297
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T221",23.3554260144628
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T222",3.75048958501272
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T223",0.904411120502142
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T224",6.12392557127061
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T225",16.0175039111977
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T226",14.1239832646908
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T227",19.1158969712519
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T228",3.4367275247376
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T229",20.8707257119112
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T230",4.83259625089436
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T231",6.34411017440387
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T232",7.33838466485681
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T233",2.94832687913437
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T234",2.32826169756357
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T235",13.8742658927305
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T236",1.91238753638198
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T237",16.7014853657144
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T238",15.5530429083432
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T240",7.29311445584459
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T240B",7.25824449350019
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T241",3.06712258246327
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T242",12.3657394204774
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T900",5.29677842684205
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T901",5.29677842684205
