"FID_noaa_w","Field1","STATION","NAME","location","LATITUDE","LONGITUDE","ELEVATION","nrows","min_date","max_date","AWND_n","DAPR_n","DASF_n","EVAP_n","FMTM_n","MDPR_n","MDSF_n","MNPN_n","MXPN_n","PGTM_n","PRCP_n","SN32_n","SN52_n","SNOW_n","SNWD_n","SX32_n","SX52_n","TAVG_n","TMAX_n","TMIN_n","TOBS_n","WDF2_n","WDF5_n","WDMV_n","WESD_n","WESF_n","WSF2_n","WSF5_n","WSFG_n","WT01_n","WT02_n","WT03_n","WT04_n","WT05_n","WT06_n","WT07_n","WT08_n","WT09_n","WT10_n","WT11_n","WT13_n","WT14_n","WT15_n","WT16_n","WT17_n","WT18_n","WT19_n","WT21_n","WT22_n","SN53_n","SX53_n","tavg2_n","FID_tl_201","ZCTA5CE10","GEOID10","CLASSFP10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
272,273,"US1INLK0078","SCHERERVILLE 1.4 E, IN US","(41.4853,-87.4215)",41.4853,-87.4215,200,1375,5/16/2014,12/19/2018,0,0,0,0,0,0,0,0,0,0,1375,0,0,976,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21997,"46375","46375","B5","G6350","S",35100905,128559,"+41.4918181","-087.4487460"
222,223,"US1ILWL0070","FRANKFORT 2.2 WSW, IL US","(41.4891,-87.8766)",41.4891,-87.8766,238,101,4/27/2010,8/27/2010,0,0,0,0,0,0,0,0,0,0,101,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27239,"60423","60423","B5","G6350","S",94442018,6765,"+41.4773492","-087.8324186"
268,269,"US1INLK0067","SCHERERVILLE 1.1 E, IN US","(41.4893,-87.4275)",41.4893,-87.4275,197,1649,8/2/2013,12/30/2018,0,0,0,0,0,0,0,0,0,0,1649,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21997,"46375","46375","B5","G6350","S",35100905,128559,"+41.4918181","-087.4487460"
28,29,"US1ILCK0069","PARK FOREST 0.8 NNE, IL US","(41.4928,-87.6815)",41.4928,-87.6815,220,2557,3/28/2007,12/27/2018,0,0,0,0,0,0,0,0,0,0,2556,0,0,1589,78,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309,"60466","60466","B5","G6350","S",16589778,66519,"+41.4778163","-087.6831878"
257,258,"US1INLK0037","SCHERERVILLE 2.3 E, IN US","(41.4928,-87.4049)",41.4928,-87.4049,195,717,9/9/2008,5/21/2012,0,0,0,0,0,0,0,0,0,0,717,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21997,"46375","46375","B5","G6350","S",35100905,128559,"+41.4918181","-087.4487460"
295,296,"USC00116616","PARK FOREST, IL US","(41.4947,-87.6802)",41.4947,-87.6802,216,4597,1/1/2006,12/31/2018,0,4,0,0,0,20,7,0,0,0,4550,0,0,4117,4099,0,0,0,4525,4542,4543,0,0,0,0,0,0,0,0,76,0,100,10,6,11,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,4522,2309,"60466","60466","B5","G6350","S",16589778,66519,"+41.4778163","-087.6831878"
266,267,"US1INLK0059","W9MAL MERRILLVILLE 2.0 NNW, IN US","(41.4955,-87.3461)",41.4955,-87.3461,193,1703,1/15/2012,12/29/2018,0,0,0,0,0,0,0,0,0,0,1700,0,0,1039,281,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22366,"46410","46410","B5","G6350","S",76443748,76005,"+41.4802070","-087.3330651"
219,220,"US1ILWL0063","NEW LENOX 1.8 SE, IL US","(41.4996,-87.9603)",41.4996,-87.9603,214,3146,3/27/2010,12/30/2018,0,0,0,0,0,0,0,0,0,0,3145,0,0,2566,1819,0,0,0,0,0,0,0,0,0,1467,1826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10403,"60451","60451","B5","G6350","S",66368268,193001,"+41.5076473","-087.9610892"
218,219,"US1ILWL0059","NEW LENOX 1.4 SE, IL US","(41.5024,-87.9686)",41.5024,-87.9686,217,200,3/29/2010,10/27/2010,0,0,0,0,0,0,0,0,0,0,200,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10403,"60451","60451","B5","G6350","S",66368268,193001,"+41.5076473","-087.9610892"
244,245,"US1ILWL0147","NEW LENOX 2.0 ESE, IL US","(41.5036,-87.9513)",41.5036,-87.9513,218,154,7/5/2018,12/23/2018,0,0,0,0,0,0,0,0,0,0,154,0,0,94,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10403,"60451","60451","B5","G6350","S",66368268,193001,"+41.5076473","-087.9610892"
260,261,"US1INLK0045","MERRILLVILLE 3.0 NW, IN US","(41.5038,-87.3649)",41.5038,-87.3649,191,404,11/24/2009,2/9/2012,0,0,0,0,0,0,0,0,0,0,404,0,0,252,52,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22366,"46410","46410","B5","G6350","S",76443748,76005,"+41.4802070","-087.3330651"
247,248,"US1INLK0015","DYER 1.0 WNW, IN US","(41.5067,-87.5248)",41.5067,-87.5248,192,3941,8/18/2007,12/30/2018,0,0,0,0,0,0,0,0,0,0,3931,0,0,3141,1591,0,0,0,0,0,0,0,0,0,94,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21642,"46311","46311","B5","G6350","S",35259222,0,"+41.4652653","-087.5089881"
231,232,"US1ILWL0106","FRANKFORT 2.3 ENE, IL US","(41.5105,-87.7962)",41.5105,-87.7962,221,145,5/30/2013,9/21/2014,0,0,0,0,0,0,0,0,0,0,145,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27239,"60423","60423","B5","G6350","S",94442018,6765,"+41.4773492","-087.8324186"
255,256,"US1INLK0034","HOBART 1.2 SSW, IN US","(41.515,-87.2706)",41.515,-87.2706,190,491,7/13/2012,10/16/2016,0,0,0,0,0,0,0,0,0,0,491,0,0,267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21653,"46342","46342","B5","G6350","S",91232848,997039,"+41.5181847","-087.2449075"
