"id","latitude","longitude"
"T070",41.7969756237185,-87.7977135554474
"T071",41.7796933552503,-87.7765972791021
"T073",41.7730854014927,-87.6001675593922
"T074",41.820858507727,-87.6651080946797
"T075",41.8080900635239,-87.5892865065224
"T076",41.793951806707,-87.6158117048056
"T077",41.7781288578847,-87.5862450351638
"T079",41.7657525248547,-87.5624652079384
"T080",41.7541484141155,-87.6127210225819
"T081",41.8200516492779,-87.6273475708005
"T082",41.8023593089734,-87.643075919231
"T083",41.754292,-87.590773
"T114",41.7982107262686,-87.7369249631991
"T155",41.7760053916792,-87.7794076676092
"T063",41.8253982564648,-87.7239621366786
"T115",41.6623867275909,-87.5901797275175
"T138",41.7105424021537,-87.5845589333682
"T200",41.6566769990061,-87.5594407188114
"T203",41.656789139146,-87.5594401791304
"T206",41.6548384476096,-87.5421585536217
"T209",41.65706887565,-87.5460488650592
"T212",41.6810349311229,-87.5334364673105
"T215",41.6864892498982,-87.5310598110466
"T104",41.6723761757969,-87.5754773765765
"T107",41.7292635055617,-87.6034586897767
"T128",41.7046872136244,-87.5642355621286
"T072",41.7463635328984,-87.7024448681201
"T027",41.986319851449,-87.7283784561791
"T078",41.7754286072673,-87.654534498408
"T097",41.6447200663261,-87.6018515280235
"T099",41.7331878797168,-87.5556286895028
"T100",41.7177671,-87.5316325
"T102",41.6954940700482,-87.6090817656136
"T103",41.6863678,-87.5363922
"T156",41.7723922829799,-87.7398164742613
"T157",41.8264764668465,-87.6467319796116
"T221",41.6592360184657,-87.6120151281337
"T054B",41.9220638000278,-87.6322330599227
"T900",41.9738886,-87.8907904
"T901",41.9738886,-87.8907904
"T903",41.9738886,-87.8907904
"T906",41.9738886,-87.8907904
"T907",41.9738886,-87.8907904
"T904",41.9738886,-87.8907904
"T905",41.9738886,-87.8907904
"T911",41.9738886,-87.8907904
"T912",41.9738886,-87.8907904
"T913",41.9738886,-87.8907904
"T908",41.9738886,-87.8907904
"T915",41.9738886,-87.8907904
"T090A",41.690492243709,-87.6593528014515
"T090B",41.6837249746386,-87.6565606709704
"T090C",41.6757126356566,-87.6539394763059
"T200A",41.6601053591715,-87.5469876130483
"T916",41.9738886,-87.8907904
"T128A",41.7060240760675,-87.5658354786566
"T200B",41.6483106893397,-87.5596320471443
"T218A",41.9553906712472,-87.7310414988534
"T218C",41.9340749896136,-87.737957044487
"T220A",41.9870538111334,-87.7283975320547
"T218B",41.9485895887282,-87.7403884458712
"T054A",41.9227366494657,-87.6324499672014
"T917",41.9738886,-87.8907904
"T918",41.9738886,-87.8907904
"T902",41.9738886,-87.8907904
"T222",41.925286783458,-87.7474591237943
"T223",41.9745227611573,-87.8045894695049
"T225",41.7426704781299,-87.731550058876
"T227",41.7284900339864,-87.6085243081307
"T909",41.9738886,-87.8907904
"T914",41.9738886,-87.8907904
"T224",41.9470444950448,-87.6730610534978
"T226",41.7943664781499,-87.6489251365347
"T229",41.6902210881742,-87.6376163721897
"T230",41.9047734478359,-87.7556857528923
"T920",41.9738886,-87.8907904
"T228",41.9536641523854,-87.7249871913888
"T035",41.7633709219824,-87.6378726141474
"T231",41.987880691886,-87.6667850754809
"T232",41.913051862688,-87.6679052359552
"T002A",41.965414224917,-87.7821188853026
"T002B",41.9515353224559,-87.7898352632669
"T233",42.0106432736568,-87.8067973004595
"T234",41.94285841518,-87.7618793888687
"T235",41.7748411153277,-87.7280058192276
"T921",41.9738886,-87.8907904
"T236",41.994966304029,-87.7708372198788
"T095A",41.7047273977372,-87.6380595138488
"T237",41.7387738986487,-87.6963592036158
"T238",41.7534898163537,-87.7083778685359
"T065A",41.7773431435491,-87.7496655315052
"T924",41.9738886,-87.8907904
"T925",41.9738886,-87.8907904
"T923",41.9738886,-87.8907904
"T094B",41.7185958186904,-87.6689262434552
"T054C",41.9217769034285,-87.6321404519203
"T240",41.9186757541567,-87.6643744436784
"T063B",41.8260653407173,-87.7239760926924
"T135B",41.6631884935349,-87.6326783598257
"T240B",41.9191932451835,-87.6647607504407
"T028B",41.9874698995281,-87.6894230745706
"T138B",41.7108293884482,-87.5845258394681
"T241",41.9305305416017,-87.7618073773228
"T002B.2",41.9552693429573,-87.797047654291
"T074B",41.8225150209399,-87.6651045864611
"T009B",41.9878510626375,-87.8472670494675
"T114B",41.7979989394689,-87.7369191050572
"T242",41.7916895638498,-87.7816359712787
"T910",41.9738886,-87.8907904
"T046B",41.8914545209459,-87.6897626564256
"T030B",41.8837112946093,-87.7160920917754
