"","trap.name","lat","lng","lat.lng.src","satellite.ind","trap_type","date","erraticus.NumMosquitos","pipiens.NumMosquitos","pipiens_restuans.NumMosquitos","restuans.NumMosquitos","salinarius.NumMosquitos","tarsalis.NumMosquitos","territans.NumMosquitos","unspecified.NumMosquitos","tot.NumMosquitos","erraticus.WnvPresent","pipiens.WnvPresent","pipiens_restuans.WnvPresent","restuans.WnvPresent","salinarius.WnvPresent","tarsalis.WnvPresent","territans.WnvPresent","unspecified.WnvPresent","any.WnvPresent","mo","wk","day.of.wk","day.of.wk.name","location","yr"
"2950","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"CDC",2007-06-05,0,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,23,3,"Mon","(41.89221998323666,-87.69169772868295)",2007
"2951","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"CDC",2007-06-26,0,0,1,6,0,0,0,0,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,26,3,"Mon","(41.89221998323666,-87.69169772868295)",2007
"2952","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"CDC",2007-06-29,0,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,26,6,"Thu","(41.89221998323666,-87.69169772868295)",2007
"2953","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"CDC",2007-07-02,0,0,3,16,0,0,0,0,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,27,2,"Sun","(41.89221998323666,-87.69169772868295)",2007
"2954","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"CDC",2007-07-11,0,3,6,5,0,0,0,0,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,28,4,"Tue","(41.89221998323666,-87.69169772868295)",2007
"2955","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"CDC",2007-07-18,0,34,30,8,0,0,0,0,72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,29,4,"Tue","(41.89221998323666,-87.69169772868295)",2007
"2956","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"CDC",2007-07-27,0,3,13,5,0,0,0,0,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,30,6,"Thu","(41.89221998323666,-87.69169772868295)",2007
"2957","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"CDC",2007-08-01,0,41,28,7,0,0,0,0,76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,31,4,"Tue","(41.89221998323666,-87.69169772868295)",2007
"2958","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"CDC",2007-08-07,0,5,2,0,0,0,0,0,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,32,3,"Mon","(41.89221998323666,-87.69169772868295)",2007
"2959","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"CDC",2007-08-15,0,31,39,0,0,0,0,0,70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,33,4,"Tue","(41.89221998323666,-87.69169772868295)",2007
"2960","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"CDC",2007-08-21,0,1,1,0,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,34,3,"Mon","(41.89221998323666,-87.69169772868295)",2007
"2961","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"CDC",2007-08-24,0,8,2,1,0,0,0,0,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,34,6,"Thu","(41.89221998323666,-87.69169772868295)",2007
"2962","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"CDC",2007-09-18,0,0,3,0,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,38,3,"Mon","(41.89221998323666,-87.69169772868295)",2007
"2963","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"CDC",2007-10-04,0,26,8,0,0,0,0,0,34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,40,5,"Wed","(41.89221998323666,-87.69169772868295)",2007
"2964","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2008-06-24,0,0,11,3,0,0,0,0,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,26,3,"Mon","(41.89221998323666,-87.69169772868295)",2008
"2965","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2008-07-01,0,8,18,22,0,0,0,0,48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,27,3,"Mon","(41.89221998323666,-87.69169772868295)",2008
"2966","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2008-07-11,0,0,5,0,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,28,6,"Thu","(41.89221998323666,-87.69169772868295)",2008
"2967","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2008-07-23,0,0,6,5,0,0,0,0,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,30,4,"Tue","(41.89221998323666,-87.69169772868295)",2008
"2968","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2008-07-28,0,0,1,1,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,30,2,"Sun","(41.89221998323666,-87.69169772868295)",2008
"2969","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2008-08-04,0,1,14,1,0,0,0,0,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,31,2,"Sun","(41.89221998323666,-87.69169772868295)",2008
"2970","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2008-08-12,0,0,5,0,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,33,3,"Mon","(41.89221998323666,-87.69169772868295)",2008
"2971","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2008-08-19,0,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,34,3,"Mon","(41.89221998323666,-87.69169772868295)",2008
"2972","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2008-08-26,0,1,17,4,0,0,0,0,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,35,3,"Mon","(41.89221998323666,-87.69169772868295)",2008
"2973","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2008-09-03,0,0,7,0,0,0,0,0,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,36,4,"Tue","(41.89221998323666,-87.69169772868295)",2008
"2974","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2008-09-09,0,1,4,0,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,37,3,"Mon","(41.89221998323666,-87.69169772868295)",2008
"2975","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2008-09-19,0,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,38,6,"Thu","(41.89221998323666,-87.69169772868295)",2008
"2976","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-06-02,0,0,1,1,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,22,3,"Mon","(41.89221998323666,-87.69169772868295)",2009
"2977","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-06-05,0,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,23,6,"Thu","(41.89221998323666,-87.69169772868295)",2009
"2978","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-06-12,0,0,8,2,0,0,0,0,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,24,6,"Thu","(41.89221998323666,-87.69169772868295)",2009
"2979","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-06-26,0,0,13,8,0,0,0,0,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,26,6,"Thu","(41.89221998323666,-87.69169772868295)",2009
"2980","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-07-06,0,1,3,3,0,0,0,0,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,27,2,"Sun","(41.89221998323666,-87.69169772868295)",2009
"2981","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-07-17,0,1,9,9,1,0,0,0,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,29,6,"Thu","(41.89221998323666,-87.69169772868295)",2009
"2982","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-07-24,0,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,30,6,"Thu","(41.89221998323666,-87.69169772868295)",2009
