SUMLEVEL,GEOID,FILETYPE,year,tot_pop,male_pct,female_pct,age_median,tot_under18_pct,tot_18to64_pct,tot_65plus_pct,raceeth_white_pct,raceeth_aa_pct,raceeth_aian_pct,raceeth_asian_pct,raceeth_hpi_pct,raceeth_other_pct,raceeth_mult_pct,raceeth_hispanic_pct
140,14000US17031030604,2017e5,2017,3225,0.5448062016,0.4551937984,41.1,0.1051162791,0.7023255814,0.1925581395,0.4093023256,0.2251162791,0,0.263255814,0,0.0024806202,0.0403100775,0.0595348837
140,14000US17031030701,2017e5,2017,1597,0.5641828428,0.4358171572,37.6,0.090169067,0.7670632436,0.1427676894,0.4959298685,0.2423293676,0.0056355667,0.1565435191,0,0,0.0043832185,0.0951784596
140,14000US17031030702,2017e5,2017,982,0.4938900204,0.5061099796,48.6,0.0376782077,0.7800407332,0.1822810591,0.6221995927,0.1059063136,0,0.2321792261,0,0,0.0081466395,0.0315682281
140,14000US17031030703,2017e5,2017,2680,0.5623134328,0.4376865672,41.7,0.0794776119,0.7526119403,0.1679104478,0.5615671642,0.1992537313,0,0.0455223881,0,0,0.0514925373,0.1421641791
140,14000US17031030706,2017e5,2017,4270,0.5386416862,0.4613583138,46.1,0.1016393443,0.6297423888,0.268618267,0.5400468384,0.150117096,0,0.2264637002,0,0,0.0140515222,0.0693208431
140,14000US17031030800,2017e5,2017,4376,0.4632084095,0.5367915905,41,0.1252285192,0.6777879342,0.1969835466,0.7145795247,0.0381627057,0,0.0914076782,0,0,0.0166819013,0.1391681901
140,14000US17031030900,2017e5,2017,3143,0.4976137448,0.5023862552,39.1,0.0995863824,0.7747375119,0.1256761056,0.5714285714,0.1568565065,0,0.0967228762,0,0.0034998409,0.0334075724,0.1380846325
140,14000US17031031000,2017e5,2017,4078,0.4801373222,0.5198626778,35.1,0.1321726336,0.7653261403,0.1025012261,0.6777832271,0.0438940657,0,0.0809220206,0,0.0056400196,0.0348209907,0.1569396763
140,14000US17031031100,2017e5,2017,4666,0.5083583369,0.4916416631,39,0.0696528075,0.796613802,0.1337333905,0.6281611659,0.025289327,0.002571796,0.1131590227,0,0.003214745,0.0231461637,0.2044577797
140,14000US17031031200,2017e5,2017,5720,0.5736013986,0.4263986014,36.3,0.1774475524,0.7187062937,0.1038461538,0.4928321678,0.2148601399,0.0022727273,0.1213286713,0,0,0.0281468531,0.1405594406
140,14000US17031031300,2017e5,2017,8037,0.5106382979,0.4893617021,43.6,0.1189498569,0.6652979968,0.2157521463,0.4594998134,0.2187383352,0.0028617643,0.1970884658,0,0,0.0145576708,0.1072539505
140,14000US17031031400,2017e5,2017,4958,0.4705526422,0.5294473578,41.5,0.0508269463,0.7587736991,0.1903993546,0.685558693,0.1240419524,0.0008067769,0.0954013715,0,0.0076643808,0.0094796289,0.0770471965
140,14000US17031031501,2017e5,2017,4033,0.4961567072,0.5038432928,40.5,0.1700967022,0.6595586412,0.1703446566,0.3528390776,0.2896107116,0,0.2070419043,0,0.0044631788,0.036201339,0.1098437887
140,14000US17031031502,2017e5,2017,4439,0.5278215814,0.4721784186,32.6,0.1556656905,0.7830592476,0.061275062,0.3124577608,0.4140572201,0,0.0635278216,0,0,0.0171209732,0.1928362244
140,14000US17031031700,2017e5,2017,7001,0.533495215,0.466504785,33.1,0.1331238395,0.8240251393,0.0428510213,0.5500642765,0.2361091273,0.0079988573,0.0445650621,0,0.0035709184,0.0371375518,0.1205542065
140,14000US17031031800,2017e5,2017,1771,0.5155279503,0.4844720497,33.5,0.1451157538,0.788255223,0.0666290232,0.7718802936,0.0220214568,0,0.0976849238,0,0,0.0112930548,0.097120271
140,14000US17031031900,2017e5,2017,2526,0.4742676168,0.5257323832,34.1,0.1072842439,0.7889944576,0.1037212985,0.7058590657,0.0332541568,0.0039588282,0.0684877276,0,0,0.0368171021,0.1516231196
140,14000US17031032100,2017e5,2017,7117,0.4708444569,0.5291555431,35.3,0.0778417873,0.8034284108,0.1187298019,0.6428270339,0.0622453281,0,0.0408880146,0,0,0.034846143,0.2191934804
140,14000US17031040100,2017e5,2017,3893,0.5160544567,0.4839455433,37.7,0.1803236578,0.7143591061,0.1053172361,0.6814795787,0.0549704598,0.006678654,0.0410994092,0,0,0.0177241202,0.1980477781
140,14000US17031040201,2017e5,2017,7040,0.4887784091,0.5112215909,33.4,0.1626420455,0.7440340909,0.0933238636,0.5752840909,0.0353693182,0.0001420455,0.1130681818,0,0.0055397727,0.0299715909,0.240625
140,14000US17031040202,2017e5,2017,7194,0.5457325549,0.4542674451,35.6,0.1921045316,0.7022518766,0.1056435919,0.4355018071,0.0510147345,0,0.2546566583,0,0.0019460662,0.0618571031,0.1950236308
