"trap.name","rev.lat","rev.lng","lat.lng.src","satellite.ind","ZCTA5CE10","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","BlkGrp.geoid","community","zone_class","zone_type","Tract.geoid","LT_HS_pct__BlkGrp2017","median_HHInc__BlkGrp2017","LT_Pov_pct__BlkGrp2017","LT_HS_pct__Tract2017","median_HHInc__Tract2017","LT_Pov_pct__Tract2017"
"T090C","41.675712635656595","-87.65393947630594","CDPH",TRUE,60643,17,31,530400,2,170315304002,"WEST PULLMAN","PMD 10","6",17031530400,7.825203252,72386,7.299270073,10.265613783,48036,15.509376584
"T091","41.67703235316266","-87.64446507522","CDPH",FALSE,60643,17,31,530400,1,170315304001,"WEST PULLMAN","PMD 10","6",17031530400,16.136919315,31250,34.16252073,10.265613783,48036,15.509376584
"T092","41.67744707247274","-87.6227850122959","CDPH",FALSE,60628,17,31,530501,4,170315305014,"WEST PULLMAN","RS-3","4",17031530501,8.2146768894,61218,14.915966387,14.578434666,42422,26.8058811
"T094","41.72128749967918","-87.66523570170051","CDPH",FALSE,60643,17,31,720100,3,170317201003,"BEVERLY","B1-1","1",17031720100,0.6868131868,88125,1.3374485597,1.5327257664,133636,0.4436557232
"T094B","41.71859581869038","-87.66892624345516","CDPH",TRUE,60643,17,31,720200,3,170317202003,"BEVERLY","POS-1","12",17031720200,3.068712475,69243,2.2750252781,6.41458474,63295,10.017313876
"T095","41.70532764418326","-87.63295536539816","CDPH",FALSE,60628,17,31,491100,1,170314911001,"ROSELAND","M1-1","3",17031491100,22.373540856,24851,51.78041543,13.546870408,43382,19.527186761
"T095A","41.7047273977372","-87.63805951384876","CDPH",TRUE,60628,17,31,491100,5,170314911005,"ROSELAND","POS-1","12",17031491100,11.042944785,49453,29.227761486,13.546870408,43382,19.527186761
"T096","41.73242806400838","-87.63105648014084","CDPH",FALSE,60620,17,31,834000,1,170318340001,"ROSELAND","M1-2","3",17031834000,20.959264126,33464,26.181353768,16.306483301,34864,23.682409309
"T097","41.644720066326094","-87.60185152802353","CDPH",FALSE,60827,17,31,540101,1,170315401011,"RIVERDALE","M3-2","3",17031540101,34.796747967,25186,52.551020408,20.24291498,12660,62.123164133
"T099","41.73318787971678","-87.55562868950284","CDPH",FALSE,60617,17,31,833900,1,170318339001,"SOUTH CHICAGO","POS-1","12",17031833900,32.957393484,28000,30.834512023,32.677442024,32159,33.346988939
"T100","41.7177671","-87.5316325","Google",FALSE,60617,17,31,520100,1,170315201001,"EAST SIDE","POS-1","12",17031520100,45.491803279,35365,19.068845963,45.491803279,35365,19.068845963
"T102","41.695494070048184","-87.60908176561364","CDPH",FALSE,60628,17,31,500200,2,170315002002,"PULLMAN","M3-3","3",17031500200,11.079545455,46500,11.390284757,11.497975709,34038,32.427184466
"T103","41.6863678","-87.5363922","Google",FALSE,60617,17,31,520600,1,170315206001,"EAST SIDE","RS-2","4",17031520600,24.865735768,42764,16.749291785,24.865735768,42764,16.749291785
"T104","41.67237617579695","-87.57547737657654","CDPH",FALSE,60633,17,31,838800,2,170318388002,"SOUTH DEERING","M3-3","3",17031838800,26.95584818,15875,60.79277865,28.306010929,19155,49.574588769
"T107","41.729263505561725","-87.60345868977669","CDPH",FALSE,60619,17,31,440800,2,170314408002,"CHATHAM","RT-4","4",17031440800,9.5427435388,24500,40.19253911,15.92760181,19833,44.236960721
"T114","41.79821072626856","-87.73692496319906","CDPH",FALSE,60632,17,31,570500,2,170315705002,"ARCHER HEIGHTS","C2-1","2",17031570500,26.383981154,37688,17.911530094,25.918225918,41875,18.394648829
"T114B","41.79799893946895","-87.73691910505724","CDPH",TRUE,60632,17,31,570500,2,170315705002,"ARCHER HEIGHTS","C2-1","2",17031570500,26.383981154,37688,17.911530094,25.918225918,41875,18.394648829
"T115","41.66238672759086","-87.59017972751752","CDPH",FALSE,60633,17,31,838800,2,170318388002,"SOUTH DEERING","PMD 6","6",17031838800,26.95584818,15875,60.79277865,28.306010929,19155,49.574588769
"T128","41.704687213624375","-87.5642355621286","CDPH",FALSE,60617,17,31,838800,2,170318388002,"SOUTH DEERING","POS-1","12",17031838800,26.95584818,15875,60.79277865,28.306010929,19155,49.574588769
"T128A","41.70602407606748","-87.56583547865658","CDPH",TRUE,60617,17,31,838800,2,170318388002,"SOUTH DEERING","RS-3","4",17031838800,26.95584818,15875,60.79277865,28.306010929,19155,49.574588769
"T129","41.89151302234628","-87.60978482187917","CDPH",FALSE,60611,17,31,81402,1,170310814021,"NEAR NORTH SIDE","PD 527","5",17031081402,0,71833,8.6155378486,0.4411423264,109801,6.735340729
